year,county,township,admin_key,party_zh,party_code,candidate,vote_rate,votes,total_valid,turnout
2024,宜蘭縣,三星鄉,宜蘭縣|三星鄉,國民黨,KMT,侯友宜,0.266700,3439,12895,0.688300
2024,宜蘭縣,三星鄉,宜蘭縣|三星鄉,民眾黨,TPP,柯文哲,0.229200,2956,12895,0.688300
2024,宜蘭縣,大同鄉,宜蘭縣|大同鄉,民進黨,DPP,賴清德,0.151300,489,3233,0.676900
2024,宜蘭縣,大同鄉,宜蘭縣|大同鄉,國民黨,KMT,侯友宜,0.599100,1937,3233,0.676900
2024,宜蘭縣,大同鄉,宜蘭縣|大同鄉,民眾黨,TPP,柯文哲,0.249600,807,3233,0.676900
2024,宜蘭縣,南澳鄉,宜蘭縣|南澳鄉,民進黨,DPP,賴清德,0.092100,271,2944,0.647500
2024,宜蘭縣,南澳鄉,宜蘭縣|南澳鄉,國民黨,KMT,侯友宜,0.671500,1977,2944,0.647500
2024,宜蘭縣,南澳鄉,宜蘭縣|南澳鄉,民眾黨,TPP,柯文哲,0.236400,696,2944,0.647500
2024,屏東縣,里港鄉,屏東縣|里港鄉,民進黨,DPP,賴清德,0.534600,8368,15652,0.729600
2024,屏東縣,里港鄉,屏東縣|里港鄉,國民黨,KMT,侯友宜,0.239600,3750,15652,0.729600
2024,屏東縣,里港鄉,屏東縣|里港鄉,民眾黨,TPP,柯文哲,0.225700,3533,15652,0.729600
2024,屏東縣,高樹鄉,屏東縣|高樹鄉,民進黨,DPP,賴清德,0.590300,8149,13804,0.685700
2024,屏東縣,高樹鄉,屏東縣|高樹鄉,國民黨,KMT,侯友宜,0.243500,3361,13804,0.685700
2024,屏東縣,高樹鄉,屏東縣|高樹鄉,民眾黨,TPP,柯文哲,0.166300,2296,13804,0.685700
2024,屏東縣,三地門鄉,屏東縣|三地門鄉,民進黨,DPP,賴清德,0.180400,849,4706,0.745200
2024,屏東縣,三地門鄉,屏東縣|三地門鄉,國民黨,KMT,侯友宜,0.586900,2762,4706,0.745200
2024,屏東縣,三地門鄉,屏東縣|三地門鄉,民眾黨,TPP,柯文哲,0.232700,1095,4706,0.745200
2024,屏東縣,霧臺鄉,屏東縣|霧臺鄉,民進黨,DPP,賴清德,0.207900,457,2198,0.781400
2024,屏東縣,霧臺鄉,屏東縣|霧臺鄉,國民黨,KMT,侯友宜,0.586400,1289,2198,0.781400
2024,屏東縣,霧臺鄉,屏東縣|霧臺鄉,民眾黨,TPP,柯文哲,0.205600,452,2198,0.781400
2024,屏東縣,瑪家鄉,屏東縣|瑪家鄉,民進黨,DPP,賴清德,0.168900,720,4263,0.765800
2024,屏東縣,瑪家鄉,屏東縣|瑪家鄉,國民黨,KMT,侯友宜,0.572800,2442,4263,0.765800
2024,屏東縣,瑪家鄉,屏東縣|瑪家鄉,民眾黨,TPP,柯文哲,0.258300,1101,4263,0.765800
2024,屏東縣,九如鄉,屏東縣|九如鄉,民進黨,DPP,賴清德,0.574800,7818,13602,0.730000
2024,屏東縣,九如鄉,屏東縣|九如鄉,國民黨,KMT,侯友宜,0.215400,2930,13602,0.730000
2024,屏東縣,九如鄉,屏東縣|九如鄉,民眾黨,TPP,柯文哲,0.209700,2852,13602,0.730000
